"quaCheckaccount","numDuration","quaCredHist","quaPurpos","numAmount","quaSavaccount","quaEmploy","numRate","quaStatSex","quaDebGuar","numResid","quaProp","numAge","quaPlan","quaHousing","numCredits","quaJob","numLiabl","quaTeleph","quaForeigwork","target"
"A14",36,"A32","A46",9055,"A65","A73",2,"A93","A101",4,"A124",35,"A143","A153",1,"A172",2,"A192","A201",0
"A14",24,"A32","A42",2835,"A63","A75",3,"A93","A101",4,"A122",53,"A143","A152",1,"A173",1,"A191","A201",0
"A12",12,"A32","A43",1567,"A61","A73",1,"A92","A101",1,"A123",22,"A143","A152",1,"A173",1,"A192","A201",0
"A11",30,"A30","A49",8072,"A65","A72",2,"A93","A101",3,"A123",25,"A141","A152",3,"A173",1,"A191","A201",0
"A11",10,"A34","A40",2241,"A61","A72",1,"A93","A101",3,"A121",48,"A143","A151",2,"A172",2,"A191","A202",0
"A11",6,"A32","A42",1374,"A61","A73",1,"A93","A101",2,"A121",36,"A141","A152",1,"A172",1,"A192","A201",0
"A12",7,"A32","A43",2415,"A61","A73",3,"A93","A103",2,"A121",34,"A143","A152",1,"A173",1,"A191","A201",0
"A12",18,"A32","A49",1913,"A64","A72",3,"A94","A101",3,"A121",36,"A141","A152",1,"A173",1,"A192","A201",0
"A14",48,"A34","A46",6110,"A61","A73",1,"A93","A101",3,"A124",31,"A141","A153",1,"A173",1,"A192","A201",0
"A11",6,"A32","A41",1352,"A63","A71",1,"A92","A101",2,"A122",23,"A143","A151",1,"A171",1,"A192","A201",0
"A12",27,"A33","A41",5965,"A61","A75",1,"A93","A101",2,"A123",30,"A143","A152",2,"A174",1,"A192","A201",0
"A13",18,"A32","A40",1961,"A61","A75",3,"A92","A101",2,"A123",23,"A143","A152",1,"A174",1,"A191","A201",0
"A12",9,"A32","A49",1391,"A61","A73",2,"A94","A101",1,"A121",27,"A141","A152",1,"A173",1,"A192","A201",0
"A12",15,"A34","A43",1537,"A65","A75",4,"A93","A103",4,"A121",50,"A143","A152",2,"A173",1,"A192","A201",0
"A14",24,"A32","A43",3181,"A61","A72",4,"A92","A101",4,"A122",26,"A143","A152",1,"A173",1,"A192","A201",0
"A14",12,"A32","A43",2171,"A61","A72",2,"A92","A101",2,"A123",29,"A141","A152",1,"A173",1,"A191","A201",0
"A12",11,"A33","A43",4771,"A61","A74",2,"A93","A101",4,"A122",51,"A143","A152",1,"A173",1,"A191","A201",0
"A14",54,"A30","A41",9436,"A65","A73",2,"A93","A101",2,"A122",39,"A143","A152",1,"A172",2,"A191","A201",0
"A14",18,"A32","A49",1568,"A62","A73",3,"A92","A101",4,"A122",24,"A143","A151",1,"A172",1,"A191","A201",0
"A14",12,"A34","A43",618,"A61","A75",4,"A93","A101",4,"A121",56,"A143","A152",1,"A173",1,"A191","A201",0
"A11",12,"A34","A41",1409,"A61","A75",4,"A93","A101",3,"A121",54,"A143","A152",1,"A173",1,"A191","A201",0
"A12",36,"A34","A43",2337,"A61","A75",4,"A93","A101",4,"A121",36,"A143","A152",1,"A173",1,"A191","A201",0
"A12",20,"A33","A41",7057,"A65","A74",3,"A93","A101",4,"A122",36,"A141","A151",2,"A174",2,"A192","A201",0
"A12",6,"A33","A49",1449,"A62","A75",1,"A91","A101",2,"A123",31,"A141","A152",2,"A173",2,"A191","A201",0
"A11",12,"A32","A43",1680,"A63","A75",3,"A94","A101",1,"A121",35,"A143","A152",1,"A173",1,"A191","A201",0
"A14",15,"A32","A42",2708,"A61","A72",2,"A93","A101",3,"A122",27,"A141","A152",2,"A172",1,"A191","A201",0
"A14",60,"A32","A43",10144,"A62","A74",2,"A92","A101",4,"A121",21,"A143","A152",1,"A173",1,"A192","A201",0
"A14",27,"A33","A41",8613,"A64","A73",2,"A93","A101",2,"A123",27,"A143","A152",2,"A173",1,"A191","A201",0
"A13",12,"A32","A43",1881,"A61","A73",2,"A92","A101",2,"A123",44,"A143","A151",1,"A172",1,"A192","A201",0
"A12",36,"A32","A43",4795,"A61","A72",4,"A92","A101",1,"A124",30,"A143","A152",1,"A174",1,"A192","A201",0
"A12",24,"A34","A41",7758,"A64","A75",2,"A92","A101",4,"A124",29,"A143","A151",1,"A173",1,"A191","A201",0
"A11",9,"A34","A45",1288,"A62","A75",3,"A93","A103",4,"A121",48,"A143","A152",2,"A173",2,"A191","A202",0
"A11",12,"A31","A48",339,"A61","A75",4,"A94","A101",1,"A123",45,"A141","A152",1,"A172",1,"A191","A201",0
"A12",24,"A32","A40",3512,"A62","A74",2,"A93","A101",3,"A123",38,"A141","A152",2,"A173",1,"A192","A201",0
"A14",6,"A32","A42",2978,"A63","A73",1,"A93","A101",2,"A123",32,"A143","A152",1,"A173",1,"A192","A201",0
"A14",24,"A32","A42",3972,"A61","A74",2,"A92","A101",4,"A122",25,"A143","A151",1,"A173",1,"A192","A201",0
"A11",6,"A34","A43",338,"A63","A75",4,"A93","A101",4,"A123",52,"A143","A152",2,"A173",1,"A191","A201",0
"A11",21,"A34","A40",571,"A61","A75",4,"A93","A101",4,"A121",65,"A143","A152",2,"A173",1,"A191","A201",0
"A14",24,"A34","A42",3777,"A64","A73",4,"A93","A101",4,"A121",50,"A143","A152",1,"A173",1,"A192","A201",0
"A12",18,"A30","A42",3244,"A61","A73",1,"A92","A101",4,"A123",33,"A141","A152",2,"A173",1,"A192","A201",0
"A14",6,"A34","A43",1382,"A61","A73",1,"A92","A101",1,"A123",28,"A143","A152",2,"A173",1,"A192","A201",0
"A12",24,"A32","A41",2760,"A65","A75",4,"A93","A101",4,"A124",36,"A141","A153",1,"A173",1,"A192","A201",0
"A11",12,"A32","A40",1168,"A61","A73",4,"A94","A101",3,"A121",27,"A143","A152",1,"A172",1,"A191","A201",0
"A11",24,"A32","A49",6568,"A61","A73",2,"A94","A101",2,"A123",21,"A142","A152",1,"A172",1,"A191","A201",0
"A14",36,"A32","A43",3835,"A65","A75",2,"A92","A101",4,"A121",45,"A143","A152",1,"A172",1,"A192","A201",0
"A12",6,"A34","A48",932,"A65","A74",1,"A92","A101",3,"A122",39,"A143","A152",2,"A172",1,"A191","A201",0
"A11",12,"A32","A46",1200,"A65","A73",4,"A92","A101",4,"A122",23,"A141","A151",1,"A173",1,"A192","A201",0
"A14",36,"A30","A45",2613,"A61","A73",4,"A93","A101",2,"A123",27,"A143","A152",2,"A173",1,"A191","A201",0
"A11",24,"A32","A42",3149,"A61","A72",4,"A93","A101",1,"A124",22,"A141","A153",1,"A173",1,"A191","A201",0
"A14",12,"A32","A43",2141,"A62","A74",3,"A93","A101",1,"A124",35,"A143","A152",1,"A173",1,"A191","A201",0
"A12",18,"A32","A43",866,"A61","A73",4,"A94","A103",2,"A121",25,"A143","A152",1,"A172",1,"A191","A201",0
"A11",30,"A32","A43",2522,"A61","A75",1,"A93","A103",3,"A122",39,"A143","A152",1,"A173",2,"A191","A201",0
"A14",6,"A32","A43",1595,"A61","A74",3,"A93","A101",2,"A122",51,"A143","A152",1,"A173",2,"A191","A201",0
"A14",12,"A34","A43",717,"A61","A75",4,"A93","A101",4,"A121",52,"A143","A152",3,"A173",1,"A191","A201",0
"A14",6,"A30","A40",1204,"A62","A73",4,"A93","A101",1,"A124",35,"A141","A151",1,"A173",1,"A191","A202",0
"A14",24,"A33","A42",4151,"A62","A73",2,"A93","A101",3,"A122",35,"A143","A152",2,"A173",1,"A191","A201",0
"A12",9,"A32","A42",2030,"A65","A74",2,"A93","A101",1,"A123",24,"A143","A152",1,"A173",1,"A192","A201",0
"A12",60,"A33","A43",7418,"A65","A73",1,"A93","A101",1,"A121",27,"A143","A152",1,"A172",1,"A191","A201",0
"A14",24,"A34","A43",2684,"A61","A73",4,"A93","A101",2,"A121",35,"A143","A152",2,"A172",1,"A191","A201",0
"A14",15,"A32","A41",3812,"A62","A72",1,"A92","A101",4,"A123",23,"A143","A152",1,"A173",1,"A192","A201",0
"A14",11,"A34","A43",1154,"A62","A71",4,"A92","A101",4,"A121",57,"A143","A152",3,"A172",1,"A191","A201",0
"A14",24,"A32","A43",1533,"A61","A72",4,"A92","A101",3,"A123",38,"A142","A152",1,"A173",1,"A192","A201",0
"A14",12,"A34","A42",1402,"A63","A74",3,"A92","A101",4,"A123",37,"A143","A151",1,"A173",1,"A192","A201",0
"A11",12,"A32","A42",1262,"A65","A75",2,"A91","A101",4,"A122",49,"A143","A152",1,"A172",1,"A192","A201",0
"A14",12,"A32","A42",1574,"A61","A73",4,"A93","A101",2,"A121",50,"A143","A152",1,"A173",1,"A191","A201",0
"A14",15,"A34","A42",1520,"A65","A75",4,"A93","A101",4,"A122",63,"A143","A152",1,"A173",1,"A191","A201",0
"A14",12,"A32","A49",1076,"A61","A73",2,"A94","A101",2,"A121",26,"A143","A152",1,"A173",1,"A192","A202",0
"A14",12,"A32","A41",4675,"A65","A72",1,"A92","A101",4,"A123",20,"A143","A151",1,"A173",1,"A191","A201",0
"A14",18,"A32","A42",2515,"A61","A73",3,"A93","A101",4,"A121",43,"A143","A152",1,"A173",1,"A192","A201",0
"A14",30,"A32","A41",4811,"A65","A74",2,"A92","A101",4,"A122",24,"A142","A151",1,"A172",1,"A191","A201",0
"A13",24,"A32","A42",3749,"A61","A72",2,"A92","A101",4,"A123",26,"A143","A152",1,"A173",1,"A191","A201",0
"A12",24,"A32","A42",4351,"A65","A73",1,"A92","A101",4,"A122",48,"A143","A152",1,"A172",1,"A192","A201",0
"A14",12,"A34","A46",701,"A61","A73",4,"A93","A101",2,"A123",32,"A143","A152",2,"A173",1,"A191","A201",0
"A12",6,"A32","A43",1068,"A61","A75",4,"A93","A101",4,"A123",28,"A143","A152",1,"A173",2,"A191","A201",0
"A12",13,"A32","A43",2101,"A61","A72",2,"A92","A103",4,"A122",23,"A143","A152",1,"A172",1,"A191","A201",0
"A11",24,"A32","A42",4169,"A61","A73",4,"A93","A101",4,"A122",28,"A143","A152",1,"A173",1,"A191","A201",0
"A12",10,"A32","A42",1521,"A61","A73",4,"A91","A101",2,"A123",31,"A143","A152",1,"A172",1,"A191","A201",0
"A14",18,"A34","A41",3229,"A65","A71",2,"A93","A101",4,"A124",38,"A143","A152",1,"A174",1,"A192","A201",0
"A14",10,"A32","A46",727,"A63","A75",4,"A93","A101",4,"A124",46,"A143","A153",1,"A173",1,"A192","A201",0
"A14",12,"A34","A43",2331,"A65","A75",1,"A93","A102",4,"A121",49,"A143","A152",1,"A173",1,"A192","A201",0
"A12",18,"A32","A46",1239,"A65","A73",4,"A93","A101",4,"A124",61,"A143","A153",1,"A173",1,"A191","A201",0
"A13",12,"A32","A43",3399,"A65","A75",2,"A93","A101",3,"A123",37,"A143","A152",1,"A174",1,"A191","A201",0
"A14",18,"A34","A43",6070,"A61","A75",3,"A93","A101",4,"A123",33,"A143","A152",2,"A173",1,"A192","A201",0
"A12",18,"A34","A42",7374,"A61","A71",4,"A93","A101",4,"A122",40,"A142","A152",2,"A174",1,"A192","A201",0
"A12",15,"A34","A49",2326,"A63","A73",2,"A93","A101",4,"A123",27,"A141","A152",1,"A173",1,"A191","A201",0
"A14",9,"A32","A49",1449,"A61","A74",3,"A92","A101",2,"A123",27,"A143","A152",2,"A173",1,"A191","A201",0
"A14",18,"A32","A40",1820,"A61","A73",2,"A94","A101",2,"A122",30,"A143","A152",1,"A174",1,"A192","A201",0
"A12",39,"A33","A46",11760,"A62","A74",2,"A93","A101",3,"A124",32,"A143","A151",1,"A173",1,"A192","A201",0
"A11",12,"A32","A42",2578,"A61","A71",3,"A92","A101",4,"A124",55,"A143","A153",1,"A174",1,"A191","A201",0
"A12",18,"A33","A40",2899,"A65","A75",4,"A93","A101",4,"A123",43,"A143","A152",1,"A173",2,"A191","A201",0
"A14",24,"A32","A43",3235,"A63","A75",3,"A91","A101",2,"A123",26,"A143","A152",1,"A174",1,"A192","A201",0
"A14",33,"A34","A41",7253,"A61","A74",3,"A93","A101",2,"A123",35,"A143","A152",2,"A174",1,"A192","A201",0
"A14",10,"A32","A40",1597,"A63","A73",3,"A93","A101",2,"A124",40,"A143","A151",1,"A172",2,"A191","A202",0
"A11",18,"A33","A46",8471,"A65","A73",1,"A92","A101",2,"A123",23,"A143","A151",2,"A173",1,"A192","A201",0
"A14",6,"A32","A45",660,"A63","A74",2,"A94","A101",4,"A121",23,"A143","A151",1,"A172",1,"A191","A201",0
"A11",42,"A34","A45",3394,"A61","A71",4,"A93","A102",4,"A123",65,"A143","A152",2,"A171",1,"A191","A201",0
"A14",12,"A32","A40",1884,"A61","A75",4,"A93","A101",4,"A123",39,"A143","A152",1,"A174",1,"A192","A201",0
"A12",20,"A33","A410",2629,"A61","A73",2,"A93","A101",3,"A123",29,"A141","A152",2,"A173",1,"A192","A201",0
"A14",9,"A34","A46",1244,"A65","A75",4,"A92","A101",4,"A122",41,"A143","A151",2,"A172",1,"A191","A201",0
"A12",7,"A32","A43",2576,"A61","A73",2,"A93","A103",2,"A121",35,"A143","A152",1,"A173",1,"A191","A201",0
"A14",36,"A34","A41",11054,"A65","A73",4,"A93","A101",2,"A123",30,"A143","A152",1,"A174",1,"A192","A201",0
"A14",12,"A30","A42",2759,"A61","A75",2,"A93","A101",4,"A122",34,"A143","A152",2,"A173",1,"A191","A201",0
"A12",12,"A32","A48",754,"A65","A75",4,"A93","A101",4,"A122",38,"A143","A152",2,"A173",1,"A191","A201",0
"A14",18,"A32","A49",1950,"A61","A74",4,"A93","A101",1,"A123",34,"A142","A152",2,"A173",1,"A192","A201",0
"A14",48,"A33","A43",7238,"A65","A75",3,"A93","A101",3,"A123",32,"A141","A152",2,"A173",2,"A191","A201",0
"A14",24,"A33","A41",4679,"A61","A74",3,"A93","A101",3,"A123",35,"A143","A152",2,"A172",1,"A192","A201",0
"A12",12,"A32","A49",1037,"A62","A74",3,"A93","A101",4,"A121",39,"A143","A152",1,"A172",1,"A191","A201",0
"A12",12,"A34","A43",3573,"A61","A73",1,"A92","A101",1,"A121",23,"A143","A152",1,"A172",1,"A191","A201",0
"A14",12,"A32","A43",3077,"A61","A73",2,"A93","A101",4,"A123",52,"A143","A152",1,"A173",1,"A192","A201",0
"A14",10,"A32","A40",1418,"A62","A73",3,"A93","A101",2,"A121",35,"A143","A151",1,"A172",1,"A191","A202",0
"A14",6,"A32","A40",3518,"A61","A73",2,"A93","A103",3,"A122",26,"A143","A151",1,"A173",1,"A191","A201",0
"A14",12,"A34","A43",1934,"A61","A75",2,"A93","A101",2,"A124",26,"A143","A152",2,"A173",1,"A191","A201",0
"A11",12,"A34","A40",2122,"A61","A73",3,"A93","A101",2,"A121",39,"A143","A151",2,"A172",2,"A191","A202",0
"A13",6,"A34","A40",1323,"A62","A75",2,"A91","A101",4,"A123",28,"A143","A152",2,"A173",2,"A192","A201",0
"A13",15,"A34","A41",2360,"A63","A73",2,"A93","A101",2,"A123",36,"A143","A152",1,"A173",1,"A192","A201",0
"A14",36,"A32","A41",4686,"A61","A73",2,"A93","A101",2,"A124",32,"A143","A153",1,"A174",1,"A192","A201",0
"A11",6,"A34","A40",609,"A61","A74",4,"A92","A101",3,"A122",37,"A143","A152",2,"A173",1,"A191","A202",0
"A12",18,"A32","A43",1113,"A61","A73",4,"A92","A103",4,"A121",26,"A143","A152",1,"A172",2,"A191","A201",0
"A12",26,"A32","A41",7966,"A61","A72",2,"A93","A101",3,"A123",30,"A143","A152",2,"A173",1,"A191","A201",0
"A12",36,"A32","A46",2273,"A61","A74",3,"A93","A101",1,"A123",32,"A143","A152",2,"A173",2,"A191","A201",0
"A14",12,"A33","A41",1503,"A61","A73",4,"A94","A101",4,"A121",41,"A143","A151",1,"A173",1,"A191","A201",0
"A12",18,"A34","A42",3612,"A61","A75",3,"A92","A101",4,"A122",37,"A143","A152",1,"A173",1,"A192","A201",0
"A13",18,"A32","A42",3049,"A61","A72",1,"A92","A101",1,"A122",45,"A142","A152",1,"A172",1,"A191","A201",0
"A14",12,"A34","A40",1255,"A61","A75",4,"A93","A101",4,"A121",61,"A143","A152",2,"A172",1,"A191","A201",0
"A14",24,"A34","A40",2022,"A61","A73",4,"A92","A101",4,"A123",37,"A143","A152",1,"A173",1,"A192","A201",0
"A14",24,"A32","A43",1552,"A61","A74",3,"A93","A101",1,"A123",32,"A141","A152",1,"A173",2,"A191","A201",0
"A14",48,"A34","A41",8858,"A65","A74",2,"A93","A101",1,"A124",35,"A143","A153",2,"A173",1,"A192","A201",0
"A14",12,"A34","A45",996,"A65","A74",4,"A92","A101",4,"A121",23,"A143","A152",2,"A173",1,"A191","A201",0
"A12",48,"A32","A43",3979,"A65","A74",4,"A93","A101",1,"A123",41,"A143","A152",2,"A173",2,"A192","A201",0
"A14",30,"A34","A43",5954,"A61","A74",3,"A93","A102",2,"A123",38,"A143","A152",1,"A173",1,"A191","A201",0
"A12",12,"A34","A40",3124,"A61","A72",1,"A93","A101",3,"A121",49,"A141","A152",2,"A172",2,"A191","A201",0
"A12",24,"A33","A40",1965,"A65","A73",4,"A92","A101",4,"A123",42,"A143","A151",2,"A173",1,"A192","A201",0
"A13",10,"A32","A42",1275,"A61","A72",4,"A92","A101",2,"A122",23,"A143","A152",1,"A173",1,"A191","A201",0
"A14",24,"A34","A49",4526,"A61","A73",3,"A93","A101",2,"A121",74,"A143","A152",1,"A174",1,"A192","A201",0
"A12",48,"A30","A49",12204,"A65","A73",2,"A93","A101",2,"A123",48,"A141","A152",1,"A174",1,"A192","A201",0
"A14",42,"A34","A42",4042,"A63","A73",4,"A93","A101",4,"A121",36,"A143","A152",2,"A173",1,"A192","A201",0
"A14",9,"A32","A46",3832,"A65","A75",1,"A93","A101",4,"A121",64,"A143","A152",1,"A172",1,"A191","A201",0
"A14",12,"A32","A43",1493,"A61","A72",4,"A92","A101",3,"A123",34,"A143","A152",1,"A173",2,"A191","A201",0
"A13",12,"A32","A43",1297,"A61","A73",3,"A94","A101",4,"A121",23,"A143","A151",1,"A173",1,"A191","A201",0
"A13",6,"A34","A46",1047,"A61","A73",2,"A92","A101",4,"A122",50,"A143","A152",1,"A172",1,"A191","A201",0
"A13",30,"A34","A43",3017,"A61","A75",4,"A93","A101",4,"A122",47,"A143","A152",1,"A173",1,"A191","A201",0
"A14",24,"A34","A49",4139,"A62","A73",3,"A93","A101",3,"A122",27,"A143","A152",2,"A172",1,"A192","A201",0
"A14",30,"A34","A43",4530,"A61","A74",4,"A92","A101",4,"A123",26,"A143","A151",1,"A174",1,"A192","A201",0
"A14",12,"A32","A43",2279,"A65","A73",4,"A93","A101",4,"A124",37,"A143","A153",1,"A173",1,"A192","A201",0
"A12",36,"A33","A49",9857,"A62","A74",1,"A93","A101",3,"A122",31,"A143","A152",2,"A172",2,"A192","A201",0
"A14",9,"A32","A43",2753,"A62","A75",3,"A93","A102",4,"A123",35,"A143","A152",1,"A173",1,"A192","A201",0
"A12",24,"A32","A43",2896,"A62","A72",2,"A93","A101",1,"A123",29,"A143","A152",1,"A173",1,"A191","A201",0
"A14",12,"A34","A40",926,"A61","A71",1,"A92","A101",2,"A122",38,"A143","A152",1,"A171",1,"A191","A201",0
"A13",24,"A32","A43",1377,"A62","A75",4,"A92","A101",2,"A124",47,"A143","A153",1,"A173",1,"A192","A201",0
