"quaCheckaccount","numDuration","quaCredHist","quaPurpos","numAmount","quaSavaccount","quaEmploy","numRate","quaStatSex","quaDebGuar","numResid","quaProp","numAge","quaPlan","quaHousing","numCredits","quaJob","numLiabl","quaTeleph","quaForeigwork","target"
"A12",27,"A32","A49",2528,"A61","A72",4,"A92","A101",1,"A122",32,"A143","A152",1,"A173",2,"A192","A201",0
"A12",9,"A32","A43",1206,"A61","A75",4,"A92","A101",4,"A121",25,"A143","A152",1,"A173",1,"A191","A201",0
"A14",30,"A34","A43",3077,"A65","A75",3,"A93","A101",2,"A123",40,"A143","A152",2,"A173",2,"A192","A201",0
"A13",24,"A34","A43",3148,"A65","A73",3,"A93","A101",2,"A123",31,"A143","A152",2,"A173",1,"A192","A201",0
"A12",9,"A32","A43",790,"A63","A73",4,"A92","A101",3,"A121",66,"A143","A152",1,"A172",1,"A191","A201",0
"A14",6,"A34","A40",250,"A64","A73",2,"A92","A101",2,"A121",41,"A141","A152",2,"A172",1,"A191","A201",0
"A14",15,"A34","A43",1316,"A63","A73",2,"A94","A101",2,"A122",47,"A143","A152",2,"A172",1,"A191","A201",0
"A13",24,"A34","A49",1275,"A64","A73",2,"A91","A101",4,"A121",36,"A143","A152",2,"A173",1,"A192","A201",0
"A12",8,"A32","A43",760,"A61","A74",4,"A92","A103",2,"A121",44,"A143","A152",1,"A172",1,"A191","A201",0
"A12",36,"A31","A44",3990,"A65","A72",3,"A92","A101",2,"A124",29,"A141","A152",1,"A171",1,"A191","A201",0
"A11",24,"A31","A40",2325,"A62","A74",2,"A93","A101",3,"A123",32,"A141","A152",1,"A173",1,"A191","A201",0
"A11",15,"A32","A40",2511,"A61","A71",1,"A92","A101",4,"A123",23,"A143","A151",1,"A173",1,"A191","A201",0
"A14",30,"A34","A43",5771,"A61","A74",4,"A92","A101",2,"A123",25,"A143","A152",2,"A173",1,"A191","A201",0
"A14",10,"A32","A41",2901,"A65","A72",1,"A92","A101",4,"A121",31,"A143","A151",1,"A173",1,"A191","A201",0
"A12",12,"A34","A42",3617,"A61","A75",1,"A93","A101",4,"A123",28,"A143","A151",3,"A173",1,"A192","A201",0
"A14",21,"A34","A41",3275,"A61","A75",1,"A93","A101",4,"A123",36,"A143","A152",1,"A174",1,"A192","A201",0
"A14",24,"A34","A43",2223,"A62","A75",4,"A93","A101",4,"A122",52,"A141","A152",2,"A173",1,"A191","A201",0
"A14",48,"A34","A41",2751,"A65","A75",4,"A93","A101",3,"A123",38,"A143","A152",2,"A173",2,"A192","A201",0
"A11",20,"A34","A42",4272,"A61","A75",1,"A92","A101",4,"A122",24,"A143","A152",2,"A173",1,"A191","A201",0
"A14",12,"A34","A43",976,"A65","A75",4,"A93","A101",4,"A123",35,"A143","A152",2,"A173",1,"A191","A201",0
"A12",42,"A31","A41",9283,"A61","A71",1,"A93","A101",2,"A124",55,"A141","A153",1,"A174",1,"A192","A201",0
"A12",6,"A32","A43",484,"A61","A74",3,"A94","A103",3,"A121",28,"A141","A152",1,"A172",1,"A191","A201",0
"A14",6,"A32","A44",1338,"A63","A73",1,"A91","A101",4,"A121",62,"A143","A152",1,"A173",1,"A191","A201",0
"A12",48,"A33","A49",6681,"A65","A73",4,"A93","A101",4,"A124",38,"A143","A153",1,"A173",2,"A192","A201",0
"A14",4,"A32","A42",601,"A61","A72",1,"A92","A101",3,"A121",23,"A143","A151",1,"A172",2,"A191","A201",0
"A14",24,"A31","A49",1559,"A61","A74",4,"A93","A101",4,"A123",50,"A141","A152",1,"A173",1,"A192","A201",0
"A14",18,"A32","A42",3422,"A61","A75",4,"A93","A101",4,"A122",47,"A141","A152",3,"A173",2,"A192","A201",0
"A12",21,"A32","A42",3976,"A65","A74",2,"A93","A101",3,"A123",35,"A143","A152",1,"A173",1,"A192","A201",0
"A14",15,"A34","A43",1471,"A61","A73",4,"A93","A101",4,"A124",35,"A143","A153",2,"A173",1,"A192","A201",0
"A14",24,"A34","A41",5804,"A64","A73",4,"A93","A101",2,"A121",27,"A143","A152",2,"A173",1,"A191","A201",0
"A14",15,"A32","A42",2221,"A63","A73",2,"A92","A101",4,"A123",20,"A143","A151",1,"A173",1,"A191","A201",0
"A11",18,"A32","A43",2389,"A61","A72",4,"A92","A101",1,"A123",27,"A142","A152",1,"A173",1,"A191","A201",0
"A14",36,"A33","A42",7678,"A63","A74",2,"A92","A101",4,"A123",40,"A143","A152",2,"A173",1,"A192","A201",0
"A11",12,"A32","A42",3590,"A61","A73",2,"A93","A102",2,"A122",29,"A143","A152",1,"A172",2,"A191","A201",0
"A14",24,"A32","A41",7814,"A61","A74",3,"A93","A101",3,"A123",38,"A143","A152",1,"A174",1,"A192","A201",0
"A14",18,"A34","A43",1098,"A61","A71",4,"A92","A101",4,"A123",65,"A143","A152",2,"A171",1,"A191","A201",0
"A14",15,"A34","A43",1829,"A61","A75",4,"A93","A101",4,"A123",46,"A143","A152",2,"A173",1,"A192","A201",0
"A11",12,"A34","A40",2171,"A61","A73",4,"A93","A101",4,"A122",38,"A141","A152",2,"A172",1,"A191","A202",0
"A14",18,"A34","A43",1169,"A65","A73",4,"A93","A101",3,"A122",29,"A143","A152",2,"A173",1,"A192","A201",0
"A14",36,"A34","A41",10477,"A65","A75",2,"A93","A101",4,"A124",42,"A143","A153",2,"A173",1,"A191","A201",0
"A14",15,"A32","A43",1386,"A65","A73",4,"A94","A101",2,"A121",40,"A143","A151",1,"A173",1,"A192","A201",0
"A14",24,"A32","A43",1278,"A61","A75",4,"A93","A101",1,"A121",36,"A143","A152",1,"A174",1,"A192","A201",0
"A14",15,"A33","A41",3594,"A61","A72",1,"A92","A101",2,"A122",46,"A143","A152",2,"A172",1,"A191","A201",0
"A12",9,"A32","A40",3195,"A65","A73",1,"A92","A101",2,"A121",33,"A143","A152",1,"A172",1,"A191","A201",0
"A14",36,"A33","A43",4454,"A61","A73",4,"A92","A101",4,"A121",34,"A143","A152",2,"A173",1,"A191","A201",0
"A12",30,"A32","A43",2991,"A65","A75",2,"A92","A101",4,"A123",25,"A143","A152",1,"A173",1,"A191","A201",0
"A14",18,"A34","A42",1817,"A61","A73",4,"A92","A101",2,"A124",28,"A143","A152",2,"A173",1,"A191","A201",0
"A11",12,"A33","A40",1344,"A61","A73",4,"A93","A101",2,"A121",43,"A143","A152",2,"A172",2,"A191","A201",0
"A11",24,"A32","A42",1747,"A61","A72",4,"A93","A102",1,"A122",24,"A143","A152",1,"A172",1,"A191","A202",0
"A11",15,"A32","A42",1845,"A61","A72",4,"A92","A103",1,"A122",46,"A143","A151",1,"A173",1,"A191","A201",0
"A12",18,"A34","A49",3590,"A61","A71",3,"A94","A101",3,"A123",40,"A143","A152",3,"A171",2,"A192","A201",0
"A11",24,"A34","A43",1231,"A64","A75",4,"A92","A101",4,"A122",57,"A143","A151",2,"A174",1,"A192","A201",0
"A12",21,"A33","A40",2353,"A61","A73",1,"A91","A101",4,"A122",47,"A143","A152",2,"A173",1,"A191","A201",0
"A12",6,"A32","A45",454,"A61","A72",3,"A94","A101",1,"A122",22,"A143","A152",1,"A172",1,"A191","A201",0
"A12",18,"A33","A49",2427,"A65","A75",4,"A93","A101",2,"A122",42,"A143","A152",2,"A173",1,"A191","A201",0
"A14",24,"A34","A42",2028,"A61","A74",2,"A93","A101",2,"A122",30,"A143","A152",2,"A172",1,"A191","A201",0
"A11",15,"A34","A42",1433,"A61","A73",4,"A92","A101",3,"A122",25,"A143","A151",2,"A173",1,"A191","A201",0
"A11",24,"A32","A41",6579,"A61","A71",4,"A93","A101",2,"A124",29,"A143","A153",1,"A174",1,"A192","A201",0
"A11",18,"A32","A43",1936,"A65","A74",2,"A94","A101",4,"A123",23,"A143","A151",2,"A172",1,"A191","A201",0
"A11",36,"A32","A42",3959,"A61","A71",4,"A93","A101",3,"A122",30,"A143","A152",1,"A174",1,"A192","A201",0
"A14",12,"A32","A40",2390,"A65","A75",4,"A93","A101",3,"A123",50,"A143","A152",1,"A173",1,"A192","A201",0
"A12",45,"A34","A41",4576,"A62","A71",3,"A93","A101",4,"A123",27,"A143","A152",1,"A173",1,"A191","A201",0
"A12",30,"A34","A40",5234,"A61","A71",4,"A94","A101",2,"A123",28,"A143","A152",2,"A174",1,"A191","A201",1
"A11",48,"A32","A49",4308,"A61","A72",3,"A92","A101",4,"A122",24,"A143","A151",1,"A173",1,"A191","A201",1
"A11",24,"A34","A40",1199,"A61","A75",4,"A93","A101",4,"A123",60,"A143","A152",2,"A172",1,"A191","A201",1
"A11",60,"A33","A49",6836,"A61","A75",3,"A93","A101",4,"A124",63,"A143","A152",2,"A173",1,"A192","A201",1
"A11",36,"A34","A42",6229,"A61","A72",4,"A92","A102",4,"A124",23,"A143","A151",2,"A172",1,"A192","A201",1
"A12",36,"A30","A49",1953,"A61","A75",4,"A93","A101",4,"A124",61,"A143","A153",1,"A174",1,"A192","A201",1
"A14",36,"A32","A46",1819,"A61","A73",4,"A93","A101",4,"A124",37,"A142","A153",1,"A173",1,"A192","A201",1
"A14",24,"A32","A43",5943,"A65","A72",1,"A92","A101",1,"A123",44,"A143","A152",2,"A173",1,"A192","A201",1
"A12",36,"A32","A46",12612,"A62","A73",1,"A93","A101",4,"A124",47,"A143","A153",1,"A173",2,"A192","A201",1
"A11",12,"A30","A45",1108,"A61","A74",4,"A93","A101",3,"A121",28,"A143","A152",2,"A173",1,"A191","A201",1
"A11",21,"A32","A43",1835,"A61","A73",3,"A92","A101",2,"A121",25,"A143","A152",2,"A173",1,"A192","A201",1
"A11",12,"A34","A40",3499,"A61","A73",3,"A92","A102",2,"A121",29,"A143","A152",2,"A173",1,"A191","A201",1
"A11",12,"A32","A42",1282,"A61","A73",2,"A92","A101",4,"A123",20,"A143","A151",1,"A173",1,"A191","A201",1
"A11",18,"A32","A42",1131,"A61","A71",4,"A92","A101",2,"A123",33,"A143","A152",1,"A173",1,"A191","A201",1
"A12",24,"A33","A42",2064,"A61","A71",3,"A92","A101",2,"A122",34,"A143","A152",1,"A174",1,"A192","A201",1
"A11",21,"A33","A46",3414,"A61","A72",2,"A93","A101",1,"A122",26,"A143","A152",2,"A173",1,"A191","A201",1
"A12",36,"A33","A49",4455,"A61","A73",2,"A91","A101",2,"A121",30,"A142","A152",2,"A174",1,"A192","A201",1
"A11",12,"A32","A43",674,"A62","A74",4,"A94","A101",1,"A122",20,"A143","A152",1,"A173",1,"A191","A201",1
"A12",9,"A34","A46",1501,"A61","A75",2,"A92","A101",3,"A123",34,"A143","A152",2,"A174",1,"A192","A201",1
"A12",18,"A33","A42",4297,"A61","A75",4,"A91","A101",3,"A124",40,"A143","A152",1,"A174",1,"A192","A201",1
"A11",27,"A30","A49",5293,"A61","A71",2,"A93","A101",4,"A122",50,"A142","A152",2,"A173",1,"A192","A201",1
"A13",30,"A33","A49",1908,"A61","A75",4,"A93","A101",4,"A121",66,"A143","A152",1,"A174",1,"A192","A201",1
"A11",24,"A32","A43",1823,"A61","A71",4,"A93","A101",2,"A123",30,"A142","A152",1,"A174",2,"A191","A201",1
"A12",21,"A32","A49",2767,"A62","A75",4,"A91","A101",2,"A123",61,"A141","A151",2,"A172",1,"A191","A201",1
"A11",48,"A30","A41",4605,"A61","A75",3,"A93","A101",4,"A124",24,"A143","A153",2,"A173",2,"A191","A201",1
"A12",30,"A32","A40",2150,"A61","A73",4,"A92","A103",2,"A124",24,"A141","A152",1,"A173",1,"A191","A201",1
"A11",12,"A31","A43",2149,"A61","A73",4,"A91","A101",1,"A124",29,"A143","A153",1,"A173",1,"A191","A201",1
"A12",15,"A32","A43",802,"A61","A75",4,"A93","A101",3,"A123",37,"A143","A152",1,"A173",2,"A191","A201",1
"A14",6,"A32","A42",4611,"A61","A72",1,"A92","A101",4,"A122",32,"A143","A152",1,"A173",1,"A191","A201",1
"A12",36,"A32","A41",9398,"A61","A72",1,"A94","A101",4,"A123",28,"A143","A151",1,"A174",1,"A192","A201",1
"A11",36,"A31","A42",2746,"A61","A75",4,"A93","A101",4,"A123",31,"A141","A152",1,"A173",1,"A191","A201",1
"A12",30,"A34","A40",4249,"A61","A71",4,"A94","A101",2,"A123",28,"A143","A152",2,"A174",1,"A191","A201",1
"A14",36,"A33","A43",4463,"A61","A73",4,"A93","A101",2,"A123",26,"A143","A152",2,"A174",1,"A192","A201",1
"A11",30,"A32","A42",2406,"A61","A74",4,"A92","A101",4,"A121",23,"A143","A151",1,"A173",1,"A191","A201",1
"A11",18,"A32","A42",2473,"A61","A71",4,"A93","A101",1,"A123",25,"A143","A152",1,"A171",1,"A191","A201",1
"A12",60,"A31","A410",14782,"A62","A75",3,"A92","A101",4,"A124",60,"A141","A153",2,"A174",1,"A192","A201",1
"A12",36,"A32","A40",14318,"A61","A75",4,"A93","A101",2,"A124",57,"A143","A153",1,"A174",1,"A192","A201",1
"A12",24,"A32","A43",2039,"A61","A72",1,"A94","A101",1,"A122",22,"A143","A152",1,"A173",1,"A192","A201",1
"A11",12,"A32","A40",2579,"A61","A72",4,"A93","A101",1,"A121",33,"A143","A152",1,"A172",2,"A191","A201",1
"A12",12,"A32","A42",2762,"A65","A75",1,"A92","A101",2,"A122",25,"A141","A152",1,"A173",1,"A192","A201",1
"A12",12,"A32","A43",1484,"A65","A73",2,"A94","A101",1,"A121",25,"A143","A152",1,"A173",1,"A192","A201",1
"A13",12,"A31","A49",609,"A61","A72",4,"A92","A101",1,"A121",26,"A143","A152",1,"A171",1,"A191","A201",1
"A14",12,"A32","A46",719,"A61","A75",4,"A93","A101",4,"A123",41,"A141","A152",1,"A172",2,"A191","A201",1
"A11",24,"A32","A40",4817,"A61","A74",2,"A93","A102",3,"A122",31,"A143","A152",1,"A173",1,"A192","A201",1
"A11",6,"A32","A46",448,"A61","A72",4,"A92","A101",4,"A122",23,"A143","A152",1,"A173",1,"A191","A201",1
"A11",18,"A30","A42",3114,"A61","A72",1,"A92","A101",4,"A122",26,"A143","A151",1,"A173",1,"A191","A201",1
"A12",36,"A32","A42",9034,"A62","A72",4,"A93","A102",1,"A124",29,"A143","A151",1,"A174",1,"A192","A201",1
"A11",24,"A32","A40",3123,"A61","A72",4,"A92","A101",1,"A122",27,"A143","A152",1,"A173",1,"A191","A201",1
"A11",24,"A32","A40",1207,"A61","A72",4,"A92","A101",4,"A122",24,"A143","A151",1,"A173",1,"A191","A201",1
"A11",18,"A32","A43",3190,"A61","A73",2,"A92","A101",2,"A121",24,"A143","A152",1,"A173",1,"A191","A201",1
"A12",15,"A32","A40",2631,"A62","A73",2,"A92","A101",4,"A123",28,"A143","A151",2,"A173",1,"A192","A201",1
"A13",18,"A32","A42",2864,"A61","A73",2,"A93","A101",1,"A121",34,"A143","A152",1,"A172",2,"A191","A201",1
"A11",48,"A32","A43",6999,"A61","A74",1,"A94","A103",1,"A121",34,"A143","A152",2,"A173",1,"A192","A201",1
"A14",21,"A30","A40",5003,"A65","A73",1,"A92","A101",4,"A122",29,"A141","A152",2,"A173",1,"A192","A201",1
"A12",18,"A34","A42",1928,"A61","A72",2,"A93","A101",2,"A121",31,"A143","A152",2,"A172",1,"A191","A201",1
"A11",24,"A32","A42",3234,"A61","A72",4,"A92","A101",4,"A121",23,"A143","A151",1,"A172",1,"A192","A201",1
"A12",18,"A34","A40",1056,"A61","A75",3,"A93","A103",3,"A121",30,"A141","A152",2,"A173",1,"A191","A201",1
"A12",24,"A30","A49",4241,"A61","A73",1,"A93","A101",4,"A121",36,"A143","A152",3,"A172",1,"A192","A201",1
"A12",30,"A32","A42",3441,"A62","A73",2,"A92","A102",4,"A123",21,"A143","A151",1,"A173",1,"A191","A201",1
"A14",18,"A34","A40",1530,"A61","A73",3,"A93","A101",2,"A122",32,"A141","A152",2,"A173",1,"A191","A201",1
"A14",48,"A32","A49",3914,"A65","A73",4,"A91","A101",2,"A121",38,"A141","A152",1,"A173",1,"A191","A201",1
"A11",18,"A31","A42",1553,"A61","A73",4,"A93","A101",3,"A123",44,"A141","A152",1,"A173",1,"A191","A201",1
"A13",24,"A32","A40",947,"A61","A74",4,"A93","A101",3,"A124",38,"A141","A153",1,"A173",2,"A191","A201",1
"A11",12,"A32","A46",684,"A61","A73",4,"A93","A101",4,"A123",40,"A143","A151",1,"A172",2,"A191","A201",1
"A12",36,"A33","A40",8086,"A62","A75",2,"A93","A101",4,"A123",42,"A143","A152",4,"A174",1,"A192","A201",1
"A12",12,"A32","A40",888,"A61","A75",4,"A93","A101",4,"A123",41,"A141","A152",1,"A172",2,"A191","A201",1
"A11",12,"A32","A40",900,"A65","A73",4,"A94","A101",2,"A123",23,"A143","A152",1,"A173",1,"A191","A201",1
"A11",6,"A31","A46",1198,"A61","A75",4,"A92","A101",4,"A124",35,"A143","A153",1,"A173",1,"A191","A201",1
"A12",60,"A32","A40",14027,"A61","A74",4,"A93","A101",2,"A124",27,"A143","A152",1,"A174",1,"A192","A201",1
"A12",48,"A31","A49",6416,"A61","A75",4,"A92","A101",3,"A124",59,"A143","A151",1,"A173",1,"A191","A201",1
"A11",12,"A32","A40",1274,"A61","A72",3,"A92","A101",1,"A121",37,"A143","A152",1,"A172",1,"A191","A201",1
"A14",12,"A33","A45",1555,"A64","A75",4,"A93","A101",4,"A124",55,"A143","A153",2,"A173",2,"A191","A201",1
"A11",24,"A32","A40",1285,"A65","A74",4,"A92","A101",4,"A124",32,"A143","A151",1,"A173",1,"A191","A201",1
"A11",24,"A32","A40",1371,"A65","A73",4,"A92","A101",4,"A121",25,"A143","A151",1,"A173",1,"A191","A201",1
"A12",12,"A32","A40",836,"A62","A72",4,"A92","A101",2,"A122",23,"A141","A152",1,"A172",1,"A191","A201",1
"A11",18,"A32","A43",1345,"A61","A73",4,"A94","A101",3,"A121",26,"A141","A152",1,"A173",1,"A191","A201",1
"A11",36,"A32","A41",8335,"A65","A75",3,"A93","A101",4,"A124",47,"A143","A153",1,"A173",1,"A191","A201",1
"A11",45,"A30","A49",11816,"A61","A75",2,"A93","A101",4,"A123",29,"A143","A151",2,"A173",1,"A191","A201",1
"A13",15,"A32","A43",2327,"A61","A72",2,"A92","A101",3,"A121",25,"A143","A152",1,"A172",1,"A191","A201",1
"A14",18,"A32","A45",1943,"A61","A72",4,"A92","A101",4,"A121",23,"A143","A152",1,"A173",1,"A191","A201",1
"A14",18,"A33","A49",2169,"A61","A73",4,"A94","A101",2,"A123",28,"A143","A152",1,"A173",1,"A192","A201",1
"A11",9,"A32","A40",1422,"A61","A72",3,"A93","A101",2,"A124",27,"A143","A153",1,"A174",1,"A192","A201",1
"A11",18,"A32","A42",4153,"A61","A73",2,"A93","A102",3,"A123",42,"A143","A152",1,"A173",1,"A191","A201",1
"A11",6,"A32","A40",14896,"A61","A75",1,"A93","A101",4,"A124",68,"A141","A152",1,"A174",1,"A192","A201",1
"A11",24,"A32","A42",3345,"A61","A75",4,"A93","A101",2,"A122",39,"A143","A151",1,"A174",1,"A192","A201",1
"A11",48,"A32","A41",10297,"A61","A74",4,"A93","A101",4,"A124",39,"A142","A153",3,"A173",2,"A192","A201",1
"A12",9,"A32","A43",1670,"A61","A72",4,"A92","A101",2,"A123",22,"A143","A152",1,"A173",1,"A192","A201",1
"A14",18,"A32","A42",1533,"A61","A72",4,"A94","A102",1,"A122",43,"A143","A152",1,"A172",2,"A191","A201",1
"A14",24,"A33","A40",2538,"A61","A75",4,"A93","A101",4,"A123",47,"A143","A152",2,"A172",2,"A191","A201",1
"A11",36,"A32","A41",8229,"A61","A73",2,"A93","A101",2,"A122",26,"A143","A152",1,"A173",2,"A191","A201",1
